Month,Sales
2001년 1월,266
2001년 2월,145.9
2001년 3월,183.1
2001년 4월,119.3
2001년 5월,180.3
2001년 6월,168.5
2001년 7월,231.8
2001년 8월,224.5
2001년 9월,192.8
2001년 10월,122.9
2001년 11월,336.5
2001년 12월,185.9
2002년 1월,194.3
2002년 2월,149.5
2002년 3월,210.1
2002년 4월,273.3
2002년 5월,191.4
2002년 6월,287
2002년 7월,226
2002년 8월,303.6
2002년 9월,289.9
2002년 10월,421.6
2002년 11월,264.5
2002년 12월,342.3
2003년 1월,339.7
2003년 2월,440.4
2003년 3월,315.9
2003년 4월,439.3
2003년 5월,401.3
2003년 6월,437.4
2003년 7월,575.5
2003년 8월,407.6
2003년 9월,682
2003년 10월,475.3
2003년 11월,581.3
2003년 12월,646.9
2004년 1월,-123.4
2004년 2월,
2004년 3월,-257.3
2004년 4월,세일
2004년 5월,RRRR
2004년 6월,공지1)
2004년 7월,
2004년 8월,근무중
,
